Território;Nome do território;Sexo;Ano;Subgrupo detalhado;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
BR;Brasil;Ambos;2004;Vias aéreas superiores;249;0.136;0.17
BR;Brasil;Ambos;2004;Crônicas das vias aéreas inferiores;38438;20.951;32.939
BR;Brasil;Ambos;2004;Pulmonares por agentes externos;2458;1.34;1.939
BR;Brasil;Ambos;2004;Interstício pulmonar;4889;2.665;3.846
BR;Brasil;Ambos;2004;Necróticas e supurativas;620;0.338;0.466
BR;Brasil;Ambos;2004;Pleura;865;0.471;0.665
BR;Brasil;Ambos;2004;Outras do aparelho respiratório;16234;8.848;13.134
BR;Brasil;Ambos;2005;Órgãos digestivos;46591;25.11;37.45
BR;Brasil;Ambos;2005;"Pulmão, traqueia e brônquios";18078;9.74;14.69
BR;Brasil;Ambos;2005;Mama feminina;10270;5.54;7.85
BR;Brasil;Ambos;2005;Próstata;10214;5.51;8.62
BR;Brasil;Ambos;2005;Colo de útero;4506;2.43;3.33
BR;Brasil;Ambos;2005;Demais localizações;55774;30.06;42.46
BR;Brasil;Ambos;2005;Isquêmicas do coração;84945;45.79;69.01
BR;Brasil;Ambos;2005;Cerebrovasculares;90006;48.52;73.17
BR;Brasil;Ambos;2005;Demais cardiovasculares;108976;58.74;87.85
BR;Brasil;Ambos;2005;Vias aéreas superiores;251;0.135;0.174
BR;Brasil;Ambos;2005;Crônicas das vias aéreas inferiores;36555;19.704;30.29
BR;Brasil;Ambos;2005;Pulmonares por agentes externos;2593;1.398;1.981
BR;Brasil;Ambos;2005;Interstício pulmonar;4857;2.618;3.714
BR;Brasil;Ambos;2005;Necróticas e supurativas;561;0.302;0.412
BR;Brasil;Ambos;2005;Pleura;871;0.469;0.658
BR;Brasil;Ambos;2005;Outras do aparelho respiratório;14910;8.037;11.651
BR;Brasil;Ambos;2006;Órgãos digestivos;48737;25.99;38.01
BR;Brasil;Ambos;2006;"Pulmão, traqueia e brônquios";18715;9.98;14.73
BR;Brasil;Ambos;2006;Mama feminina;10950;5.84;8.14
BR;Brasil;Ambos;2006;Próstata;11007;5.87;8.98
BR;Brasil;Ambos;2006;Colo de útero;4602;2.45;3.33
BR;Brasil;Ambos;2006;Demais localizações;59065;31.5;43.76
BR;Brasil;Ambos;2006;Isquêmicas do coração;90644;48.33;71.19
BR;Brasil;Ambos;2006;Cerebrovasculares;96569;51.49;76.1
BR;Brasil;Ambos;2006;Demais cardiovasculares;115604;61.64;90.34
BR;Brasil;Ambos;2006;Vias aéreas superiores;239;0.127;0.16
BR;Brasil;Ambos;2006;Crônicas das vias aéreas inferiores;38573;20.568;30.898
