Território;Nome do território;Sexo;Ano;Grupo de causa;Óbitos;Taxa padronizada (por 100 mil hab.)
BR;Brasil;Ambos;2008;Aparelho respiratório;104774;75.99
BR;Brasil;Ambos;2008;Causas externas;133675;73.45
BR;Brasil;Ambos;2008;Endócrinas e metabólicas;64540;47.33
BR;Brasil;Ambos;2008;Aparelho digestivo;55130;38.45
BR;Brasil;Ambos;2008;Infecciosas e parasitárias;47170;30.52
BR;Brasil;Ambos;2008;Perinatais e malformações;36573;15.36
BR;Brasil;Ambos;2008;Sinais e achados mal definidos;78481;55.13
BR;Brasil;Ambos;2008;Demais causas definidas;67548;46.19
BR;Brasil;Ambos;2009;Aparelho circulatório;319708;227.89
BR;Brasil;Ambos;2009;Neoplasias;172188;119.89
BR;Brasil;Ambos;2009;Aparelho respiratório;114325;79.96
BR;Brasil;Ambos;2009;Causas externas;136489;73.89
BR;Brasil;Ambos;2009;Endócrinas e metabólicas;66914;47.57
BR;Brasil;Ambos;2009;Aparelho digestivo;56061;38.02
BR;Brasil;Ambos;2009;Infecciosas e parasitárias;46892;29.7
BR;Brasil;Ambos;2009;Perinatais e malformações;35720;15.09
BR;Brasil;Ambos;2009;Sinais e achados mal definidos;78276;53.36
BR;Brasil;Ambos;2009;Demais causas definidas;72500;48.46
BR;Brasil;Ambos;2010;Aparelho circulatório;325971;225.01
BR;Brasil;Ambos;2010;Neoplasias;178943;121.01
BR;Brasil;Ambos;2010;Aparelho respiratório;118870;81.24
BR;Brasil;Ambos;2010;Causas externas;141124;75.68
BR;Brasil;Ambos;2010;Endócrinas e metabólicas;70209;48.42
BR;Brasil;Ambos;2010;Aparelho digestivo;57921;38.14
BR;Brasil;Ambos;2010;Infecciosas e parasitárias;48699;30.28
BR;Brasil;Ambos;2010;Perinatais e malformações;33918;14.55
BR;Brasil;Ambos;2010;Sinais e achados mal definidos;78917;52.28
BR;Brasil;Ambos;2010;Demais causas definidas;78412;51.23
BR;Brasil;Ambos;2011;Aparelho circulatório;334812;223.74
BR;Brasil;Ambos;2011;Neoplasias;184329;120.84
BR;Brasil;Ambos;2011;Aparelho respiratório;126450;83.85
BR;Brasil;Ambos;2011;Causas externas;143610;76.14
BR;Brasil;Ambos;2011;Endócrinas e metabólicas;73859;49.31
BR;Brasil;Ambos;2011;Aparelho digestivo;59587;38.2
BR;Brasil;Ambos;2011;Infecciosas e parasitárias;49044;29.83
BR;Brasil;Ambos;2011;Perinatais e malformações;34053;14.61
BR;Brasil;Ambos;2011;Sinais e achados mal definidos;77625;49.95
BR;Brasil;Ambos;2011;Demais causas definidas;82979;52.86
BR;Brasil;Ambos;2012;Aparelho circulatório;332950;215.41
BR;Brasil;Ambos;2012;Neoplasias;191533;121.79
BR;Brasil;Ambos;2012;Aparelho respiratório;126982;81.55
BR;Brasil;Ambos;2012;Causas externas;149955;78.26
BR;Brasil;Ambos;2012;Endócrinas e metabólicas;72438;46.83
BR;Brasil;Ambos;2012;Aparelho digestivo;60372;37.62
BR;Brasil;Ambos;2012;Infecciosas e parasitárias;49504;29.49
BR;Brasil;Ambos;2012;Perinatais e malformações;33658;14.37
BR;Brasil;Ambos;2012;Sinais e achados mal definidos;74239;46.38
BR;Brasil;Ambos;2012;Demais causas definidas;85769;53.25
BR;Brasil;Ambos;2013;Aparelho circulatório;339293;212.47
BR;Brasil;Ambos;2013;Neoplasias;196910;121.45
BR;Brasil;Ambos;2013;Aparelho respiratório;137610;85.62
BR;Brasil;Ambos;2013;Causas externas;149612;77.26
BR;Brasil;Ambos;2013;Endócrinas e metabólicas;74673;46.74
BR;Brasil;Ambos;2013;Aparelho digestivo;61821;37.46
BR;Brasil;Ambos;2013;Infecciosas e parasitárias;51954;30.22
BR;Brasil;Ambos;2013;Perinatais e malformações;33478;14.35
BR;Brasil;Ambos;2013;Sinais e achados mal definidos;71060;43.05
BR;Brasil;Ambos;2013;Demais causas definidas;90222;54.51
BR;Brasil;Ambos;2014;Aparelho circulatório;339922;205.99
BR;Brasil;Ambos;2014;Neoplasias;201933;120.79
BR;Brasil;Ambos;2014;Aparelho respiratório;138850;83.78
BR;Brasil;Ambos;2014;Causas externas;154998;78.95
BR;Brasil;Ambos;2014;COVID-19;1;0
BR;Brasil;Ambos;2014;Endócrinas e metabólicas;73921;44.76
BR;Brasil;Ambos;2014;Aparelho digestivo;62647;36.88
BR;Brasil;Ambos;2014;Infecciosas e parasitárias;52056;29.61
BR;Brasil;Ambos;2014;Perinatais e malformações;33505;14.21
BR;Brasil;Ambos;2014;Sinais e achados mal definidos;70504;41.53
BR;Brasil;Ambos;2014;Demais causas definidas;95093;55.95
BR;Brasil;Ambos;2015;Aparelho circulatório;349277;204.8
BR;Brasil;Ambos;2015;Neoplasias;209742;121.57
BR;Brasil;Ambos;2015;Aparelho respiratório;149333;87.39
BR;Brasil;Ambos;2015;Causas externas;150466;75.94
BR;Brasil;Ambos;2015;Endócrinas e metabólicas;76192;44.67
BR;Brasil;Ambos;2015;Aparelho digestivo;64110;36.68
BR;Brasil;Ambos;2015;Infecciosas e parasitárias;54936;30.56
BR;Brasil;Ambos;2015;Perinatais e malformações;33127;13.78
BR;Brasil;Ambos;2015;Sinais e achados mal definidos;71027;40.65
BR;Brasil;Ambos;2015;Demais causas definidas;102685;58.77
BR;Brasil;Ambos;2016;Aparelho circulatório;361766;205.29
BR;Brasil;Ambos;2016;Neoplasias;215186;120.95
BR;Brasil;Ambos;2016;Aparelho respiratório;157842;89.27
BR;Brasil;Ambos;2016;Causas externas;154182;76.94
BR;Brasil;Ambos;2016;Endócrinas e metabólicas;78046;44.25
BR;Brasil;Ambos;2016;Aparelho digestivo;65957;36.67
BR;Brasil;Ambos;2016;Infecciosas e parasitárias;57097;31.03
BR;Brasil;Ambos;2016;Perinatais e malformações;31911;13.54
BR;Brasil;Ambos;2016;Sinais e achados mal definidos;75224;41.75
BR;Brasil;Ambos;2016;Demais causas definidas;109384;60.83
BR;Brasil;Ambos;2017;Aparelho circulatório;358642;196.96
BR;Brasil;Ambos;2017;Neoplasias;221791;120.91
BR;Brasil;Ambos;2017;Aparelho respiratório;155439;85.22
BR;Brasil;Ambos;2017;Causas externas;157025;77.51
BR;Brasil;Ambos;2017;COVID-19;1;0
BR;Brasil;Ambos;2017;Endócrinas e metabólicas;79641;43.71
BR;Brasil;Ambos;2017;Aparelho digestivo;65995;35.66
BR;Brasil;Ambos;2017;Infecciosas e parasitárias;54773;29.07
BR;Brasil;Ambos;2017;Perinatais e malformações;32437;14.02
BR;Brasil;Ambos;2017;Sinais e achados mal definidos;71170;38.33
BR;Brasil;Ambos;2017;Demais causas definidas;112782;60.9
BR;Brasil;Ambos;2018;Aparelho circulatório;357561;189.9
BR;Brasil;Ambos;2018;Neoplasias;227891;120.46
BR;Brasil;Ambos;2018;Aparelho respiratório;155059;82.11
BR;Brasil;Ambos;2018;Causas externas;149152;73.09
BR;Brasil;Ambos;2018;Endócrinas e metabólicas;81342;43.18
BR;Brasil;Ambos;2018;Aparelho digestivo;67255;35.32
BR;Brasil;Ambos;2018;Infecciosas e parasitárias;54614;28.25
BR;Brasil;Ambos;2018;Perinatais e malformações;31902;13.63
BR;Brasil;Ambos;2018;Sinais e achados mal definidos;69970;36.57
BR;Brasil;Ambos;2018;Demais causas definidas;119200;62.47
BR;Brasil;Ambos;2019;Aparelho circulatório;363924;186.94
BR;Brasil;Ambos;2019;Neoplasias;235279;120.59
BR;Brasil;Ambos;2019;Aparelho respiratório;161884;82.91
BR;Brasil;Ambos;2019;Causas externas;141457;68.77
BR;Brasil;Ambos;2019;Endócrinas e metabólicas;83468;42.87
BR;Brasil;Ambos;2019;Aparelho digestivo;68716;35.03
BR;Brasil;Ambos;2019;Infecciosas e parasitárias;56603;28.56
BR;Brasil;Ambos;2019;Perinatais e malformações;31640;13.66
BR;Brasil;Ambos;2019;Sinais e achados mal definidos;74499;37.79
BR;Brasil;Ambos;2019;Demais causas definidas;129973;66.11
BR;Brasil;Ambos;2020;Aparelho circulatório;357599;178.19
BR;Brasil;Ambos;2020;Neoplasias;229276;114.16
BR;Brasil;Ambos;2020;Aparelho respiratório;148669;73.96
BR;Brasil;Ambos;2020;Causas externas;144658;69.55
BR;Brasil;Ambos;2020;COVID-19;212682;106.01
BR;Brasil;Ambos;2020;Endócrinas e metabólicas;92726;46.2
BR;Brasil;Ambos;2020;Aparelho digestivo;66617;33.03
BR;Brasil;Ambos;2020;Infecciosas e parasitárias;54533;26.88
BR;Brasil;Ambos;2020;Perinatais e malformações;28411;12.68
BR;Brasil;Ambos;2020;Sinais e achados mal definidos;89824;44.41
BR;Brasil;Ambos;2020;Demais causas definidas;129442;64.05
BR;Brasil;Ambos;2021;Aparelho circulatório;382352;185.87
BR;Brasil;Ambos;2021;Neoplasias;235781;114.58
BR;Brasil;Ambos;2021;Aparelho respiratório;142366;69.13
BR;Brasil;Ambos;2021;Causas externas;148092;70.72
BR;Brasil;Ambos;2021;COVID-19;424430;205.99
BR;Brasil;Ambos;2021;Endócrinas e metabólicas;96800;47.06
BR;Brasil;Ambos;2021;Aparelho digestivo;72279;35.06
BR;Brasil;Ambos;2021;Infecciosas e parasitárias;62146;30.05
BR;Brasil;Ambos;2021;Perinatais e malformações;28567;13.14
BR;Brasil;Ambos;2021;Sinais e achados mal definidos;93485;45.28
BR;Brasil;Ambos;2021;Demais causas definidas;143974;69.73
BR;Brasil;Ambos;2022;Aparelho circulatório;400010;189.7
BR;Brasil;Ambos;2022;Neoplasias;243991;115.71
BR;Brasil;Ambos;2022;Aparelho respiratório;175982;83.46
BR;Brasil;Ambos;2022;Causas externas;151684;71.93
BR;Brasil;Ambos;2022;COVID-19;65749;31.18
BR;Brasil;Ambos;2022;Endócrinas e metabólicas;93831;44.5
BR;Brasil;Ambos;2022;Aparelho digestivo;76444;36.25
BR;Brasil;Ambos;2022;Infecciosas e parasitárias;65972;31.29
BR;Brasil;Ambos;2022;Perinatais e malformações;28448;13.49
BR;Brasil;Ambos;2022;Sinais e achados mal definidos;81973;38.88
BR;Brasil;Ambos;2022;Demais causas definidas;157845;74.86
BR;Brasil;Ambos;2023;Aparelho circulatório;388062;178.54
BR;Brasil;Ambos;2023;Neoplasias;255024;117.52
BR;Brasil;Ambos;2023;Aparelho respiratório;170063;78.29
BR;Brasil;Ambos;2023;Causas externas;153163;71.99
BR;Brasil;Ambos;2023;COVID-19;10273;4.73
BR;Brasil;Ambos;2023;Endócrinas e metabólicas;87959;40.48
BR;Brasil;Ambos;2023;Aparelho digestivo;76836;35.47
BR;Brasil;Ambos;2023;Infecciosas e parasitárias;63125;29.24
BR;Brasil;Ambos;2023;Perinatais e malformações;28379;13.79
BR;Brasil;Ambos;2023;Sinais e achados mal definidos;70622;32.65
BR;Brasil;Ambos;2023;Demais causas definidas;160231;73.92
BR;Brasil;Ambos;2024;Aparelho circulatório;398480;177.33
BR;Brasil;Ambos;2024;Neoplasias;264826;118.35
BR;Brasil;Ambos;2024;Aparelho respiratório;193977;86.3
BR;Brasil;Ambos;2024;Causas externas;158589;73.75
BR;Brasil;Ambos;2024;COVID-19;5605;2.5
BR;Brasil;Ambos;2024;Endócrinas e metabólicas;90166;40.16
BR;Brasil;Ambos;2024;Aparelho digestivo;81507;36.54
BR;Brasil;Ambos;2024;Infecciosas e parasitárias;69722;31.46
BR;Brasil;Ambos;2024;Perinatais e malformações;26564;13.11
BR;Brasil;Ambos;2024;Sinais e achados mal definidos;68576;30.84
BR;Brasil;Ambos;2024;Demais causas definidas;172190;76.95
BR;Brasil;Ambos;2025;Aparelho circulatório;393194;169.09
BR;Brasil;Ambos;2025;Neoplasias;267326;115.85
BR;Brasil;Ambos;2025;Aparelho respiratório;200752;86.18
BR;Brasil;Ambos;2025;Causas externas;154495;71.01
BR;Brasil;Ambos;2025;COVID-19;2448;1.06
BR;Brasil;Ambos;2025;Endócrinas e metabólicas;88761;38.24
BR;Brasil;Ambos;2025;Aparelho digestivo;83135;36.12
BR;Brasil;Ambos;2025;Infecciosas e parasitárias;62042;27.25
BR;Brasil;Ambos;2025;Perinatais e malformações;26538;13.34
BR;Brasil;Ambos;2025;Sinais e achados mal definidos;75455;33.01
BR;Brasil;Ambos;2025;Demais causas definidas;172454;74.49
BR;Brasil;Homens;2000;Aparelho circulatório;137047;286.16
BR;Brasil;Homens;2000;Neoplasias;64996;131.29
BR;Brasil;Homens;2000;Aparelho respiratório;49091;98.89
BR;Brasil;Homens;2000;Causas externas;97589;123.67
BR;Brasil;Homens;2000;Endócrinas e metabólicas;20908;41.7
BR;Brasil;Homens;2000;Aparelho digestivo;28153;51.45
BR;Brasil;Homens;2000;Infecciosas e parasitárias;27106;41.87
BR;Brasil;Homens;2000;Perinatais e malformações;25861;18.69
BR;Brasil;Homens;2000;Sinais e achados mal definidos;75232;145.64
BR;Brasil;Homens;2000;Demais causas definidas;22663;40.36
BR;Brasil;Homens;2001;Aparelho circulatório;138969;282.49
BR;Brasil;Homens;2001;Neoplasias;67423;132.75
BR;Brasil;Homens;2001;Aparelho respiratório;49847;98.45
BR;Brasil;Homens;2001;Causas externas;100388;125.68
BR;Brasil;Homens;2001;Endócrinas e metabólicas;21165;41.34
BR;Brasil;Homens;2001;Aparelho digestivo;29068;51.98
BR;Brasil;Homens;2001;Infecciosas e parasitárias;27156;41.61
BR;Brasil;Homens;2001;Perinatais e malformações;24192;17.88
BR;Brasil;Homens;2001;Sinais e achados mal definidos;75292;144.27
BR;Brasil;Homens;2001;Demais causas definidas;24193;42.35
BR;Brasil;Homens;2002;Aparelho circulatório;139724;277.2
BR;Brasil;Homens;2002;Neoplasias;70203;134.51
BR;Brasil;Homens;2002;Aparelho respiratório;51503;100.17
BR;Brasil;Homens;2002;Causas externas;104506;127.69
BR;Brasil;Homens;2002;Endócrinas e metabólicas;21603;41.42
BR;Brasil;Homens;2002;Aparelho digestivo;29780;51.93
BR;Brasil;Homens;2002;Infecciosas e parasitárias;27140;41.11
BR;Brasil;Homens;2002;Perinatais e malformações;23975;18.02
BR;Brasil;Homens;2002;Sinais e achados mal definidos;74379;139.46
BR;Brasil;Homens;2002;Demais causas definidas;24804;42.86
BR;Brasil;Homens;2003;Aparelho circulatório;144367;278.83
BR;Brasil;Homens;2003;Neoplasias;72566;135.41
BR;Brasil;Homens;2003;Aparelho respiratório;53444;101.54
BR;Brasil;Homens;2003;Causas externas;104779;126.33
BR;Brasil;Homens;2003;Endócrinas e metabólicas;22870;42.74
BR;Brasil;Homens;2003;Aparelho digestivo;30382;52
BR;Brasil;Homens;2003;Infecciosas e parasitárias;27605;41.54
BR;Brasil;Homens;2003;Perinatais e malformações;23416;17.91
BR;Brasil;Homens;2003;Sinais e achados mal definidos;73748;135.03
BR;Brasil;Homens;2003;Demais causas definidas;26028;44.22
BR;Brasil;Homens;2004;Aparelho circulatório;150093;281.84
BR;Brasil;Homens;2004;Neoplasias;76021;138.23
BR;Brasil;Homens;2004;Aparelho respiratório;55584;103.58
